date,value,type
20120611,1,event
20120612,1,event
20120613,1,event
20120614,1,event
20121011,1,visit
20121012,1,visit
20121115,1,event
20121116,1,event
20130227,1,visit
20130228,1,visit
20130325,1,visit
20130326,1,visit
20130508,1,event
20130620,1,event
20130613,1,visit
20130614,1,visit
20130704,1,visit
20130705,1,visit
20130912,1,visit
20130913,1,visit
20130919,1,visit
20130920,1,visit




