cat	visit	count
LG-CS	1	2
LG-P	1	1
NGO	1	1
U	1	1
J	2	6
NGO_PO	2	5
IO	2	1
RG	3	3
LG-CS	3	11
GA-L	3	2
LG-CS	4	2
U	4	1
NGO_CS	4	3
LG-CS	5	5
LG-P	5	1
CG	5	1
NGO_CS	5	2
LG-CS	6	4
LG-P	6	2
NGO_CS	6	2
CG	6	1
J	7	1
CG	7	1
NGO_CS	7	3
LG-CS	7	1
ACM	7	2
GA-L	7	2
NGO_CS	8	6
GA-L	8	2
CG	8	2
NGO_CS	9	4
LG-CS	9	2
CG	9	1
