Origin,Dest,visitn,delegatesn,delegation country,date1,date2,visit
Par,Lyo,13,0,N,20130620,20130620,13
Bru,Lyo,13,0,N,20130620,20130620,13
Bra,Lyo,13,0,N,20130620,20130620,13
Man,Lyo,13,0,N,20130620,20130620,13
She,Lyo,13,0,N,20130620,20130620,13
Por,Lyo,13,0,N,20130620,20130620,13
Bze,Bru,14,0,N,20120514,20120515,14
Fax,Bru,14,0,N,20120514,20120515,14
Faa,Bru,14,0,N,20120514,20120515,14
Par,Bru,14,0,N,20120514,20120515,14
Car,Bru,14,0,N,20120514,20120515,14
Omm,Bru,14,0,N,20120514,20120515,14
Str,Bru,14,0,N,20120514,20120515,14
Brd,Bru,14,0,N,20120514,20120515,14
Man,Bru,14,0,N,20120514,20120515,14
Vie,Bru,15,0,N,20131021,20131022,15
Bru,Bru,15,0,N,20131021,20131022,15
Ghe,Bru,15,0,N,20131021,20131022,15
Zav,Bru,15,0,N,20131021,20131022,15
Pra,Bru,15,0,N,20131021,20131022,15
Pod,Bru,15,0,N,20131021,20131022,15
Den,Bru,15,0,N,20131021,20131022,15
Tam,Bru,15,0,N,20131021,20131022,15
Oul,Bru,15,0,N,20131021,20131022,15
Par,Bru,15,0,N,20131021,20131022,15
Lyo,Bru,15,0,N,20131021,20131022,15
Mun,Bru,15,0,N,20131021,20131022,15
Aac,Bru,15,0,N,20131021,20131022,15
Sch,Bru,15,0,N,20131021,20131022,15
Car,Bru,15,0,N,20131021,20131022,15
Net,Bru,15,0,N,20131021,20131022,15
Nrw,Bru,15,0,N,20131021,20131022,15
Pol,Bru,15,0,N,20131021,20131022,15
Por,Bru,15,0,N,20131021,20131022,15
Rom,Bru,15,0,N,20131021,20131022,15
Mad,Bru,15,0,N,20131021,20131022,15
Ske,Bru,15,0,N,20131021,20131022,15
Vas,Bru,15,0,N,20131021,20131022,15
Man,Bru,15,0,N,20131021,20131022,15
She,Bru,15,0,N,20131021,20131022,15
Usa,Bru,15,0,N,20131021,20131022,15
Aus,The,16,0,N,20131003,20131004,16
Bel,The,16,0,N,20131003,20131004,16
Cze,The,16,0,N,20131003,20131004,16
Den,The,16,0,N,20131003,20131004,16
Hun,The,16,0,N,20131003,20131004,16
Ire,The,16,0,N,20131003,20131004,16
Net,The,16,0,N,20131003,20131004,16
Pol,The,16,0,N,20131003,20131004,16
Swe,The,16,0,N,20131003,20131004,16
Ukd,The,16,0,N,20131003,20131004,16
Usa,The,16,0,N,20131003,20131004,16
